benchmark,system,task_id,status,judge_status,runtime_seconds,final_answer_chars,notes
DAComp-DA,DeepAnalyze,dacomp-zh-001,completed,not_run,49.104,1624,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-002,completed,not_run,18.354,844,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-003,completed,not_run,17.361,502,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-004,completed,not_run,17.162,1101,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-005,completed,not_run,15.052,631,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-006,completed,not_run,6.366,437,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-007,completed,not_run,13.651,612,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-008,completed,not_run,11.131,821,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-009,completed,not_run,5.567,491,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-010,completed,not_run,11.36,836,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-011,completed,not_run,6.691,497,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-012,completed,not_run,11.691,789,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-013,completed,not_run,12.896,1159,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-014,completed,not_run,5.733,427,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-015,completed,not_run,8.305,599,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-016,completed,not_run,4.276,696,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-017,completed,not_run,13.195,951,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-018,completed,not_run,7.028,499,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-019,completed,not_run,10.001,654,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-020,completed,not_run,5.417,564,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-021,completed,not_run,14.757,1023,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-022,completed,not_run,7.13,498,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-023,completed,not_run,4.647,756,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-024,completed,not_run,11.241,1096,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-025,completed,not_run,7.613,515,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-026,completed,not_run,9.469,606,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-027,completed,not_run,5.244,900,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-028,completed,not_run,7.448,886,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-029,completed,not_run,6.352,487,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-030,completed,not_run,12.266,429,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-031,completed,not_run,9.137,662,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-032,completed,not_run,6.333,539,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-033,completed,not_run,30.087,910,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-034,completed,not_run,10.996,799,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-035,completed,not_run,13.609,598,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-036,completed,not_run,7.197,920,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-037,completed,not_run,5.266,661,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-038,completed,not_run,2.895,471,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-039,completed,not_run,12.653,715,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-040,completed,not_run,14.021,791,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-041,completed,not_run,8.134,1104,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-042,completed,not_run,4.782,889,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-043,completed,not_run,15.641,926,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-044,completed,not_run,4.741,480,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-045,completed,not_run,9.457,914,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-046,completed,not_run,5.738,846,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-047,completed,not_run,12.17,481,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-048,completed,not_run,6.699,664,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-049,completed,not_run,17.996,1442,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-050,completed,not_run,9.55,649,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-051,completed,not_run,8.274,655,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-052,completed,not_run,10.828,1041,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-053,completed,not_run,19.079,1498,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-054,completed,not_run,13.629,1531,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-055,completed,not_run,8.072,1164,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-056,completed,not_run,11.642,966,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-057,completed,not_run,6.721,1288,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-058,completed,not_run,10.826,1203,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-059,completed,not_run,4.918,640,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-060,completed,not_run,4.937,621,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-061,failed,not_run,5.933,0,"ConnectionError: ('Connection aborted.', OSError(22, 'Invalid argument'))"
DAComp-DA,DeepAnalyze,dacomp-zh-062,completed,not_run,4.938,986,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-063,completed,not_run,13.594,1481,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-064,completed,not_run,6.564,936,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-065,completed,not_run,15.137,697,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-066,completed,not_run,19.759,746,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-067,completed,not_run,34.769,1183,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-068,completed,not_run,10.725,947,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-069,completed,not_run,11.371,458,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-070,completed,not_run,33.811,1676,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-071,completed,not_run,14.4,384,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-072,completed,not_run,15.821,530,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-073,completed,not_run,7.648,677,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-074,completed,not_run,9.439,771,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-075,completed,not_run,21.68,1692,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-076,completed,not_run,5.154,998,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-077,completed,not_run,6.629,550,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-078,completed,not_run,5.078,622,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-079,completed,not_run,3.876,511,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-080,completed,not_run,8.78,1507,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-081,completed,not_run,4.772,614,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-082,completed,not_run,6.085,1394,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-083,completed,not_run,9.687,1378,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-084,completed,not_run,11.021,1503,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-085,completed,not_run,11.176,1810,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-086,completed,not_run,7.269,687,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-087,completed,not_run,15.75,1098,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-088,completed,not_run,14.48,1242,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-089,completed,not_run,15.912,1250,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-090,completed,not_run,11.661,848,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-091,completed,not_run,10.984,804,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-092,completed,not_run,20.685,1825,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-093,completed,not_run,15.792,757,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-094,completed,not_run,5.309,820,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-095,completed,not_run,9.594,1107,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-096,completed,not_run,34.76,1652,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-097,completed,not_run,19.568,1876,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-098,completed,not_run,7.504,1145,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-099,completed,not_run,8.043,1157,Open-ended DAComp task; official LLM judge not run in this sample.
DAComp-DA,DeepAnalyze,dacomp-zh-100,completed,not_run,10.696,1088,Open-ended DAComp task; official LLM judge not run in this sample.
